,tomato,grape,Group Number,Species 1 Score,Species 2 Score,Total Score
35,LOC101249263,LOC100260925,12,0.7224706884899063,0.7761114722591221,0.7492910803745142
36,LOC101249263,LOC100245401,12,0.9255972495665716,0.810005370113903,0.8678013098402373
37,LOC101249263,LOC100245552,12,0.6725573741588552,0.7278765439077471,0.7002169590333012
38,LOC101249263,LOC100265712,12,0.8174370426963651,0.7442016901726916,0.7808193664345283
39,LOC101245634,LOC100852765,12,0.7371866827304516,0.8461151465475821,0.7916509146390169
40,LOC101245634,LOC100260925,12,0.5225999823690164,0.7242418247081768,0.6234209035385966
41,LOC101245634,LOC100245401,12,0.7719608592165966,0.8048557135185551,0.7884082863675759
42,LOC101245634,LOC100245552,12,0.49676471452499193,0.6842655662643792,0.5905151403946856
43,LOC101245634,LOC100265712,12,0.803473303752461,0.8470252395353438,0.8252492716439024
44,LOC101265942,LOC100852765,12,0.7722174879766487,0.6270879850767361,0.6996527365266925
45,LOC101265942,LOC100260925,12,0.936577434300099,0.9391255193465419,0.9378514768233204
46,LOC101265942,LOC100245401,12,0.8749147019547537,0.8223114100788559,0.8486130560168048
47,LOC101265942,LOC100245552,12,0.9191750005713745,0.9289731776942427,0.9240740891328085
48,LOC101265942,LOC100265712,12,0.7739348763708905,0.718470365450383,0.7462026209106367
49,LOC101248971,LOC100852765,12,0.5383679586259587,0.5149713122862554,0.526669635456107
50,LOC101248971,LOC100260925,12,0.4303370456348623,0.5704700262852943,0.5004035359600782
51,LOC101248971,LOC100245401,12,0.538509006494079,0.5491365422119217,0.5438227743530003
52,LOC101248971,LOC100245552,12,0.37580441362287326,0.5648511913173737,0.4703278024701235
53,LOC101248971,LOC100265712,12,0.4381475713320208,0.529120149232639,0.4836338602823299
54,LOC101247227,LOC100259890,13,0.9150597984190885,0.9339023769819961,0.9244810877005423
55,LOC101259582,LOC104881371,14,0.7685992183597309,0.8251321330657697,0.7968656757127504
56,LOC101263788,LOC100248007,15,0.6310070230084335,0.4011129639574285,0.516059993482931
57,LOC101263788,LOC100268075,15,0.6161676118832828,0.24385969870834628,0.4300136552958146
58,LOC101261099,LOC100248007,15,0.3641091945579031,0.3682453545374322,0.36617727454766763
59,LOC101261099,LOC100268075,15,0.33339014428021513,0.24169909147722096,0.28754461787871805
60,LOC101265154,LOC100248007,15,0.8763950515706267,0.903730501932927,0.8900627767517768
61,LOC101265154,LOC100268075,15,0.8736798801093121,0.846618869512513,0.8601493748109126
62,LOC101247771,LOC100264501,16,0.7929064676324528,0.6809304428930782,0.7369184552627654
63,LOC101247771,LOC100258237,16,0.6499074373365461,0.7007829060795343,0.6753451717080402
64,LOC101264607,LOC100264501,16,0.8131644676912226,0.5867612560413782,0.6999628618663004
65,LOC101264607,LOC100258237,16,0.6816549616526109,0.7055990503377518,0.6936270059951813
66,LOC544138,LOC100267015,17,0.7650553906732097,0.809335833105653,0.7871956118894314
67,LOC544138,LOC100241311,17,0.9321148364726278,0.9596280489528277,0.9458714427127277
68,LOC544138,LOC100262886,17,0.9731009961505686,0.9685650490376192,0.9708330225940939
69,LOC101254555,LOC100267015,17,0.8829361464547031,0.8836820766952759,0.8833091115749895
70,LOC101254555,LOC100241311,17,0.9615233169756986,0.9620983013481812,0.96181080916194
71,LOC101254555,LOC100262886,17,0.9805882871499516,0.9490630564427236,0.9648256717963376
72,LOC101260246,LOC100265316,18,0.8793688107901619,0.9498996636612872,0.9146342372257246
73,LOC101267493,LOC100249038,19,0.7742587640680556,0.885308812953594,0.8297837885108248
74,LOC101245609,LOC100265732,20,0.7183817695630454,0.6276193437155535,0.6730005566392995
75,LOC101245609,LOC100258785,20,0.7638917457612178,0.7860885786156411,0.7749901621884294
76,LOC101245609,LOC100243701,20,0.7075313684581704,0.5079901642124304,0.6077607663353004
77,LOC101245609,LOC100242025,20,0.7612838294496195,0.7936714306799947,0.7774776300648071
78,LOC101263643,LOC100265732,20,0.8257177279539244,0.7012973064639213,0.7635075172089228
79,LOC101263643,LOC100258785,20,0.8671681701977608,0.8328368333286227,0.8500025017631918
