,LOG8
LOC101248432,0.9944895991183359
LOC104646115,0.9944436791109886
LOC101255291,0.9943977591036415
LOC101249595,0.9943518390962942
LOC101055547,0.994305919088947
LOC101264952,0.9942370390779263
LOC101252202,0.9942370390779263
LOC101265854,0.9941681590669055
LOC101261086,0.9941222390595582
LOC101251942,0.994076319052211
LOC101264143,0.9940303990448639
LOC101258619,0.9939844790375166
LOC101253592,0.9939385590301695
LOC101251570,0.9938926390228222
LOC101254867,0.993846719015475
LOC101254816,0.9938007990081278
LOC104647663,0.9937548790007806
LOC101248720,0.9937089589934335
LOC101249251,0.9936630389860862
LOC101261151,0.9936171189787391
LOC101246190,0.9935711989713918
LOC101255386,0.9935252789640446
LOC101244593,0.9934793589566975
20ox-2,0.9934334389493502
LOC104648481,0.9933875189420031
LOC112941657,0.9933415989346558
LOC101251556,0.9932956789273086
LOC101055583,0.9932497589199615
LOC101257603,0.9932038389126142
LOC101248118,0.9931579189052671
LOC101266562,0.9931119988979198
LOC101255867,0.9930660788905726
LOC101261120,0.9929971988795518
LOC101250846,0.9929971988795518
LOC101266870,0.9929283188685311
LOC104649214,0.9928823988611838
PHS1,0.9928364788538366
LOC101254279,0.9927905588464894
LOC101257663,0.9927446388391422
LOC101250881,0.9926987188317951
LOC101268370,0.9926527988244478
LOC104648009,0.9926068788171006
LOC101246907,0.9925609588097534
LOC104647298,0.9925150388024062
LOC104644469,0.9924691187950591
LOC101257176,0.9924231987877118
LOC101258152,0.9923772787803646
LOC101253677,0.9923313587730174
LOC101246603,0.9922854387656702
LOC101257650,0.9922165587546494
LOC101256387,0.9922165587546494
LOC101264850,0.9921476787436286
LOC101264819,0.9921017587362814
LOC101247471,0.9920558387289342
LOC104644846,0.992009918721587
LOC101245918,0.9919639987142398
LOC101256903,0.9919180787068926
LOC101252103,0.9918721586995454
LOC101263506,0.9918262386921982
LOC101243919,0.991780318684851
LOC101262686,0.9917343986775038
LOC101244795,0.9916884786701566
LOC101261193,0.9916425586628094
LOC101263795,0.9915966386554622
LOC101263025,0.991550718648115
LOC101262132,0.9915047986407678
LOC112942128,0.991435918629747
LOC101266326,0.991435918629747
LOC101246586,0.9913670386187262
LOC101247655,0.991321118611379
LOC101258983,0.9912751986040318
LOC101254913,0.9912292785966845
LOC101261106,0.9911833585893374
LOC104645444,0.9911374385819902
LyesC2t022,0.991091518574643
LOC101244143,0.9910455985672958
LOC112940500,0.9909996785599485
LOC101258162,0.9909537585526014
LOC101251423,0.9909078385452542
LOC101266324,0.990861918537907
