,LOG8
LOC101254793,0.64995770370274
LOC101250205,0.6499238050924375
LOC101267906,0.6497266508086567
LOC101260158,0.6491549881533044
LOC101246218,0.6483611331388585
LOC101247051,0.6476786231243136
LOC101244145,0.6475562878558819
LOC101267880,0.6465930157012181
LOC101261882,0.6464821135172016
LOC101247812,0.6464088928563317
LOC101055547,0.6462656482435507
LOC101248113,0.6452590560434742
SlIAA16,0.6452188104054901
LOC101251520,0.6446083739478088
LOC101253367,0.6443043112575627
LOC101250846,0.6442965176979908
LOC101246367,0.6441940374503733
LOC101265236,0.6439469883596145
LOC101250601,0.6435947768221647
LOC101268345,0.6434365355114195
LOC101246091,0.6431094759162246
LOC101257421,0.6429455918659193
SlADH11A4a,0.6424712474901565
LOC101268798,0.6419490747815447
SPA,0.641693000681325
LOC101245102,0.6414541500103756
LOC101248786,0.6412954068416277
LOC100191110,0.6411168676941836
LOC101258381,0.6410989315422035
SlFBA2,0.6409837066316929
LOC101263563,0.6405264760355529
LOC101243864,0.640502939316954
LOC101254767,0.6399886824694442
LOC101250079,0.6396219592228565
LOC101266519,0.6381380831930011
LOC101255246,0.6381249589736354
LOC101257576,0.6380794965427993
LOC101257700,0.6374572305750535
LOC101265478,0.6373566312406227
LOC101248086,0.6373035692457452
LOC101264273,0.6367931374840209
LOC101267952,0.6364599543777337
LOC101250128,0.6364417398843403
LOC101268413,0.6364267305344937
LOC101254297,0.6362205976314875
LOC101261284,0.6360206177606325
LOC101255121,0.6359635872919686
LOC101251088,0.6358391138554075
LOC101252130,0.635766264316422
2-CP1,0.6357388687736845
LOC101245163,0.6357159224762652
LOC101257676,0.6351918351161135
LOC101251299,0.6348602166259526
LOC101254893,0.6345455769620018
LOC101250638,0.6344702813924147
LOC101249777,0.6342680073135472
LOC101262396,0.6342428089810568
LOC101256132,0.6342012939375363
LOC101255100,0.6341687026884175
psbS,0.6340507491885978
GGP,0.6337609873427827
LOC101260070,0.6336576172461015
LOC101262132,0.6324632373725304
Rbcs-3B,0.6323947822540396
LOC101259233,0.6321333058000257
LOC101252151,0.6320642518257668
LOC101257400,0.6320560491886632
LOC101264109,0.631861492758073
LOC104649438,0.6316338600895378
LOC101258885,0.6315106138855717
LOC101245302,0.6312859459748174
LOC101260136,0.6311791767390587
LOC101254642,0.6310191515128921
LOC101262159,0.6309154988575034
LOC101262470,0.629878386099731
LOC101268705,0.6298429819154203
LOC101259619,0.6298269561976859
LOC101253800,0.6297910290689018
LOC101246302,0.629686651038921
LOC101246083,0.629602452761403
LOC101260592,0.6292938016551319
LOC101257426,0.6292838994484897
LOC101252666,0.6290330168373571
LOC101251873,0.6289314728290387
LOC101258032,0.6288790856012236
LOC101252103,0.6288426270933778
LOC101263391,0.6282465589568338
LOC101255370,0.6282375761203142
LOC101248838,0.6281867113356839
LOC101245045,0.6281356103825817
LOC101243657,0.6281306171063192
LOC101248806,0.6280155777567508
LOC101265865,0.627963527912467
LOC101265150,0.6277384846625341
LOC101257251,0.6274577646953565
LOC101248220,0.6272788375568515
LOC101245574,0.6272604628062807
LOC101055519,0.6272586535870944
LOC101267576,0.6270300425063186
LOC101258843,0.6269404629614771
LOC101265823,0.6266407440841959
LOC101250142,0.6265525899847741
LOC101055515,0.626317138452902
LOC101249229,0.6262675135527491
LOC101263821,0.6252377557559581
LOC101258495,0.624846133604764
LOC101250616,0.6247785809872192
LOC101251116,0.6245796680917818
LOC101260406,0.6245254758620745
LOC101255291,0.6244586148807688
Fad7,0.624315167837869
SEND33,0.6242848918832333
LOC101268292,0.6242119326946003
LOC101251312,0.6239270418235175
LOC101259687,0.6239176836478194
LOC101253996,0.6238835530863392
LOC101256427,0.623741801395684
LOC101244759,0.6236936483311861
LOC101262573,0.6234577497661352
LOC101254882,0.623167443889376
LOC101255975,0.6231303401355266
LOC101258258,0.6231104808974183
LOC101255583,0.6229071440604272
LOC101254309,0.6225787433656955
LOC101261100,0.6224899946277999
