sp1_gene,sp2_gene,fc,sc
Os05g0552300,LOC101245737,0.965711629950882,0.99328915635825
Os05g0407500,LOC101253625,0.630498968836498,0.891121860519722
Os09g0502200,LOC101263456,0.734278483659251,0.840359424139608
Os01g0904400,LOC101261897,0.836569125332181,0.992595855859629
Os08g0113800,LOC101255646,0.861182422442499,0.97789289617904
Os06g0730300,LOC101252936,0.654076323298473,0.880160273206484
Os11g0439600,LOC101250072,0.620056369129596,0.937764641203966
Os11g0439600,LOC101249402,0.708737358045278,0.981229067024347
Os11g0439600,LOC101258050,0.692251947681748,0.994576934943751
Os01g0825500,LOC101248212,0.757785111668886,0.986285936728233
Os05g0475700,LOC101248212,0.809420612159343,0.977453854515913
Os11g0657100,LOC101256123,0.951757006849044,0.998115814912837
Os04g0119400,LOC101256654,0.814343129906786,0.965628319687543
Os04g0119400,LOC101256355,0.669372703859091,0.883569188634252
Os02g0611400,LOC101254637,0.655136468946936,0.669256127442882
Os07g0661900,LOC101254637,0.654479994069558,0.902563340044128
Os02g0611400,LOC101261041,0.898023915135912,0.968716185014556
Os07g0661900,LOC101261041,0.69238190195192,0.869595466081002
Os02g0611400,LOC101261632,0.869770971127399,0.856347132671461
Os07g0661900,LOC101261632,0.630061081010171,0.679725982255099
Os01g0659900,LOC101247559,0.586248742169997,0.831555600280625
Os02g0260200,LOC101247559,0.693098561877611,0.787122442370231
Os01g0951100,LOC101266053,0.632834307697879,0.891307448327838
Os01g0723100,LOC101263355,0.694648515494632,0.960902916178028
Os03g0241900,LOC101263355,0.77014982136651,0.990525680474108
Os06g0717100,LOC101263355,0.651202738433152,0.943150460432471
Os01g0723100,LOC101253155,0.573505230616391,0.742489140658477
Os03g0241900,LOC101253155,0.759160827011791,0.969696142601638
Os06g0717100,LOC101253155,0.667413962703211,0.946870266399622
Os01g0723100,LOC101263663,0.477046000088992,0.532688691693439
Os03g0241900,LOC101263663,0.510931041652403,0.334167536377311
Os06g0717100,LOC101263663,0.481389286090556,0.577233365938581
Os01g0723100,LOC101258728,0.519611543313248,0.761868422153951
Os03g0241900,LOC101258728,0.529452392337002,0.607705506276154
Os06g0717100,LOC101258728,0.497153027046528,0.823229151963057
Os05g0558800,LOC101266219,0.803034552751242,0.940677095976116
Os03g0346800,LOC101254940,0.68746478113629,0.603543580258973
Os03g0237600,LOC101261948,0.686331915169055,0.891751337565744
Os09g0450300,LOC101261948,0.682316268460571,0.940540660630145
Os03g0237600,LOC101259830,0.704742218610738,0.894922580294348
Os09g0450300,LOC101259830,0.609123919957479,0.857144850638481
Os08g0535700,LOC101264545,0.592753937603881,0.876338641631172
Os08g0535700,LOC101261081,0.588716990669263,0.887939432100776
Os01g0858700,LOC101250417,0.832829858933953,0.859854494558549
Os03g0784700,LOC101261284,0.357211912898224,0.401804769781818
Os07g0147900,LOC101261284,0.241144820788657,0.229406323620607
Os03g0784700,LOC101268044,0.734609157068962,0.865393808527112
Os07g0147900,LOC101268044,0.562622216779433,0.423248786410097
